,Student ID,Interests,Current Degree Program,Previous Degrees Program,Job Title,Responsibilities,Description of Social Activities,Preferred Job Title,Preferred Industry,Career Goals,Potential Thesis Topic 1,Potential Thesis Topic 2
0,9834,Cybersecurity,Ph.D. in Artificial Intelligence,Ph.D. in Artificial Intelligence,Machine Learning Engineer,Designing and developing software applications,Engaging in community farming projects,Lead AI Engineer,Technology,To revolutionize sustainable agriculture,Automation in mineral extraction,IoT in smart city development
1,5152,Cybersecurity,Master of Science in Biomedical Engineering,Bachelor of Science in Health Informatics,Data Analyst,Designing and developing software applications,Engaging in community farming projects,Principal Software Engineer,Healthcare,To build cutting-edge software,Automation in mineral extraction,Machine learning for threat detection
2,2620,Internet of Things (IoT),Bachelor of Science in Mining Engineering,Bachelor of Science in Mining Engineering,Cybersecurity Specialist,Developing machine learning models,Member of the cybersecurity club,Chief Mining Officer,Mining,To revolutionize sustainable agriculture,Precision farming with AI,IoT in smart city development
3,4696,Software Engineering,Bachelor of Science in Health Informatics,Master of Science in Biomedical Engineering,Data Analyst,Designing and developing software applications,Engaging in community farming projects,Chief Security Officer,Healthcare,To revolutionize sustainable agriculture,Precision farming with AI,Optimizing software engineering processes
4,5599,Internet of Things (IoT),Bachelor of Science in Agricultural Engineering,Bachelor of Science in Agricultural Engineering,Software Developer,Developing machine learning models,Leading a software development team,Director of Precision Agriculture,Agriculture,To advance IoT applications in industry,AI in autonomous vehicle safety,Precision farming with AI
5,2857,Software Engineering,Master of Science in Data Analytics,Master of Science in Data Analytics,Machine Learning Engineer,Securing networks and systems,Participating in mineral conservation activities,Head of IoT Development,Technology,To revolutionize sustainable agriculture,Big data analytics in healthcare,Machine learning for threat detection
6,8061,Software Engineering,Bachelor of Science in Industrial Engineering,Master of Science in Manufacturing Systems,IoT Solutions Architect,Analyzing data trends and providing insights,Engaging in community farming projects,Lead AI Engineer,Manufacturing,To protect organizations from cyber threats,Automation in mineral extraction,Big data analytics in healthcare
7,6337,Software Engineering,Bachelor of Science in Financial Engineering,Ph.D. in Financial Mathematics,Machine Learning Engineer,Securing networks and systems,Organizing IoT workshops,Principal Software Engineer,Finance,To advance IoT applications in industry,Machine learning for threat detection,Automation in mineral extraction
8,3154,Software Engineering,Ph.D. in Financial Mathematics,Master of Science in Financial Technology,Mining Engineer,Implementing precision agriculture techniques,Participating in hackathons,Senior Data Scientist,Finance,To revolutionize sustainable agriculture,IoT in smart city development,AI in autonomous vehicle safety
9,6293,Data Science and Big Data,Master of Science in Manufacturing Systems,Master of Science in Manufacturing Systems,Software Developer,Securing networks and systems,Participating in hackathons,Principal Software Engineer,Manufacturing,To build cutting-edge software,Precision farming with AI,Machine learning for threat detection
10,2538,Artificial Intelligence (AI) and Machine Learning (ML),Bachelor of Science in Industrial Engineering,Ph.D. in Advanced Manufacturing,Software Developer,Creating IoT solutions and integrations,Leading a software development team,Chief Mining Officer,Manufacturing,To advance IoT applications in industry,Automation in mineral extraction,Automation in mineral extraction
11,8431,Cybersecurity,Master of Science in Precision Agriculture,Bachelor of Science in Agricultural Engineering,Software Developer,Optimizing mining operations,Organizing IoT workshops,Head of IoT Development,Agriculture,To build cutting-edge software,Precision farming with AI,Optimizing software engineering processes
12,3385,Software Engineering,Master of Science in Mineral Economics,Bachelor of Science in Mining Engineering,Software Developer,Analyzing data trends and providing insights,Volunteering at local coding clubs,Principal Software Engineer,Mining,To become a leading expert in AI,Machine learning for threat detection,Automation in mineral extraction
13,8609,Software Engineering,Master of Science in Mineral Economics,Ph.D. in Mining Automation,Mining Engineer,Developing machine learning models,Engaging in community farming projects,Director of Precision Agriculture,Mining,To revolutionize sustainable agriculture,Automation in mineral extraction,IoT in smart city development
14,2983,Software Engineering,Bachelor of Science in Mining Engineering,Ph.D. in Mining Automation,Data Analyst,Optimizing mining operations,Leading a software development team,Director of Precision Agriculture,Mining,To protect organizations from cyber threats,Automation in mineral extraction,IoT in smart city development
15,4034,Cybersecurity,Bachelor of Arts in Education Technology,Bachelor of Arts in Education Technology,Machine Learning Engineer,Optimizing mining operations,Engaging in community farming projects,Director of Precision Agriculture,Education,To enhance safety and efficiency in mining,Optimizing software engineering processes,Optimizing software engineering processes
16,7798,Software Engineering,Bachelor of Science in Financial Engineering,Bachelor of Science in Financial Engineering,Mining Engineer,Implementing precision agriculture techniques,Engaging in community farming projects,Principal Software Engineer,Finance,To advance IoT applications in industry,Optimizing software engineering processes,Optimizing software engineering processes
17,5535,Data Science and Big Data,Bachelor of Arts in Education Technology,Bachelor of Arts in Education Technology,Cybersecurity Specialist,Designing and developing software applications,Leading a software development team,Chief Mining Officer,Education,To enhance safety and efficiency in mining,Machine learning for threat detection,Precision farming with AI
