,Title,Link,Snippet
0,Computational intelligence enabled cybersecurity for the internet of things,https://ieeexplore.ieee.org/abstract/document/9122023/,"… gies play key roles in campaigning cybersecurity challenges in complex systems such … 
computational intelligence techniques in cybersecurity for IoT, including CI-enabled cybersecurity …"
1,Survey on evolutionary computation methods for cybersecurity of mobile ad hoc networks,https://dspace.mit.edu/bitstream/handle/1721.1/131388/12065_2018_154_ReferencePDF.pdf?sequence=1&isAllowed=y,"… of evolutionary computation (EC) methods for cybersecurity of … used algorithms to improve 
cybersecurity within the scope of … , and power and computational limitations are among the …"
2,New advancements in cybersecurity: A comprehensive survey,https://www.researchgate.net/profile/Ahthasham-Sajid-2/publication/363182732_A_Systemic_Security_and_Privacy_Review_Attacks_and_Prevention_Mechanisms_Over_IoT_Layers/links/63197ab20a70852150d95de9/A-Systemic-Security-and-Privacy-Review-Attacks-and-Prevention-Mechanisms-Over-IoT-Layers.pdf#page=16,"… Logic, Evaluation Computation, Artificial Neural Networks and hybrid approach. In this 
research study each branch of Computational Intelligence is studied from cybersecurity point of …"
3,"Application of cognitive computing in healthcare, cybersecurity, big data and IoT: A literature review",https://www.sciencedirect.com/science/article/pii/S0306457322000176,"… Thus, the role of CC in the areas of healthcare, cybersecurity, … , 15 related to CC and 
cybersecurity, 21 belonged to Cognitive … the general features and limitations of cognitive …"
4,A review on cybersecurity of cloud computing for supporting connected vehicle applications,https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.17429510.v1,"… In this section, we discuss the cybersecurity requirements of cloud computing for supporting 
… cybersecurity requirements against corresponding threats or attacks. As shown in Fig. 1, the …"
5,Ontological approach toward cybersecurity in cloud computing,https://arxiv.org/pdf/1405.6169,"… operations mainly focused on non-cloud computing. In order to discuss necessary cybersecurity 
information in cloud computing, we apply the ontology to cloud computing. Through the …"
6,A cybersecurity framework to identify malicious edge device in fog computing and cloud-of-things environments,https://research.tees.ac.uk/files/16202354/cybersecurity_CandS_accepted.pdf,"… computing environment is more difficult because they have certain granted privileges to use 
and process the data. In this paper, proposed cybersecurity … in fog computing environment. A …"
7,Cybersecurity for quantum computing,https://arxiv.org/pdf/2110.14701,"… This paper discusses the status quo of quantum computing technologies and the … of 
cybersecurity in nascent Quantum Computing resources is rarely discussed. As Quantum Computing …"
8,Combinatorial and Multinomial Coefficients and its Computing Techniques for Machine Learning and Cybersecurity,https://periodicos.ufv.br/jcec/article/download/14713/7493,"… and data from cyber-attacks. In connection with these ideas, this article is prepared for 
applications in computing science and cybersecurity. This paper presents computing and …"
9,Secure cyber incident analytics framework using Monte Carlo simulations for financial cybersecurity insurance in cloud computing,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.3856,"The remarkable increasing demands of mitigating losses from cyber incidents for financial 
firms have been driving the rapid development of the Cybersecurity Insurance (CI). The …"
