,Title,Link,Snippet
0,[PDF][PDF] Software engineering meets evolutionary computation,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e6f9e4b9942fe6e5265dd1c524cc34f1dd01bdbb,"… forms of evolutionary computation for software engineering. … Evolutionary computation 
for software engineering forms a … in evolutionary computation for software engineering for …"
1,Software engineering as seen through its research literature: A study in co‐word analysis,https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/(sici)1097-4571(1998)49:13%3C1206::aid-asi7%3E3.0.co;2-f,"… However, this study focuses on the larger question of how software engineering interacts 
with computing as a whole; ie, on the interactions of software engineering with all other …"
2,[PDF][PDF] Software engineering issues for ubiquitous computing,https://dl.acm.org/doi/pdf/10.1145/302405.302454,"… In this paper, we discuss the software engineering problems that … is that software 
engineering advances are required to support the research endeavors in ubiquitous computing. In …"
3,Next-generation software engineering: Function extraction for computation of software behavior,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8fd19b6fbfabc610645bcbdb118717acc4807fb7,"… As a computational discipline, we believe that nextgeneration software engineering will 
require extensive capabilities for automated analysis of engineering artifacts, from specifications …"
4,Verifying conceptual domain models with human computation: A case study in software engineering,https://ojs.aaai.org/index.php/HCOMP/article/download/13325/13173,"… and software engineering communities and attracted the first solution approaches using 
human computation. … We show how VeriCoM was applied in a software engineering use case …"
5,WaLBerla: HPC software design for computational engineering simulations,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=0e22cdb7b14e2e14b4bb0a0cb0caa1b9e3018090,"… simulation and high end computing, in particular computational fluid dynamics, multilevel 
methods, and software engineering for high performance computing. He received the ISC …"
6,The state of the art in end-user software engineering,https://kilthub.cmu.edu/articles/journal_contribution/The_State_of_the_Art_in_End-User_Software_Engineering/6470543/files/11899100.pdf,"… to contrast EUSE with professional software engineering, we chose to organize the literature 
by software engineering activities commonly listed in software engineering textbooks (eg, …"
7,"Evolutionary software engineering, a review",https://staff.fmi.uvt.ro/~daniela.zaharie/am2016/proiecte/aplicatii/software_testing/evolutionarySoftwareEngineering.pdf,"… the work applying computational evolutionary methods in software engineering, especially 
in software testing. Testing is both technically and economically vital for high quality software …"
8,"Search-based software engineering: Trends, techniques and applications",https://bura.brunel.ac.uk/bitstream/2438/8811/2/Fulltext.pdf,"… regard software engineering to be truly an engineering discipline, then surely we should 
accept SBSE as a natural consequence; is not optimization the cornerstone of all engineering? …"
9,Agent-oriented software engineering,https://eprints.soton.ac.uk/252182/1/cairo.pdf.gz,"… Computing The first step in arguing for an agent-oriented approach to software engineering 
is to precisely identify and define the key concepts of agent-oriented computing. Here the …"
10,On agent-based software engineering,https://www.sciencedirect.com/science/article/pii/S0004370299001071/pdf?md5=34b0d4b69aa138c15f8d16ca9388dfcd&pid=1-s2.0-S0004370299001071-main.pdf,"… agent-based computing as a serious software engineering … into more traditional software 
engineering concepts. From here, … range of contemporary approaches to software engineering. …"
11,Teaching computational thinking using agile software engineering methods: A framework for middle schools,https://www.researchgate.net/profile/Ilenia-Fronza/publication/319287037_Teaching_Computational_Thinking_Using_Agile_Software_Engineering_Methods_A_Framework_for_Middle_Schools/links/5beda384a6fdcc3a8dd99eaa/Teaching-Computational-Thinking-Using-Agile-Software-Engineering-Methods-A-Framework-for-Middle-Schools.pdf,"… The framework is based on Agile software engineering … The results show that Agile software 
engineering methods are … potential product before using the software tools at hand. Moreover…"
12,[BOOK][B] Experimentation in software engineering,https://enos.itcollege.ee/~edmund/diplomitoo/ethics.pdf,"… Experiments are valuable tools for all software engineers who … software engineering since 
the previous edition's publication. … His focus is system-wide architectures and future computing …"
13,[PDF][PDF] Context and adaptivity in pervasive computing environments: Links with software engineering and ontological engineering.,https://lirias.kuleuven.be/retrieve/114150,"… However approaches presented in the current literature of pervasive computing did not 
really manage to go beyond the borders of traditional computing and software engineering, …"
14,"[BOOK][B] Numerical computation 1: methods, software, and analysis",https://books.google.com/books?hl=en&lr=&id=giH7CAAAQBAJ&oi=fnd&pg=PA1&dq=Software+Engineering+in+computation&ots=DwMDJ3bEAc&sig=RCnv2_rOs4ZSF8BapDVq-0HUB5k,"… of building and using models resembles the development process of computer software 
as expressed, for instance, in the waterfall model or the spiral model of software engineering.3 …"
15,"CloudSim plus: a cloud computing simulation framework pursuing software engineering principles for improved modularity, extensibility and correctness",https://www.academia.edu/download/59103620/CloudSim_Plus_-_Silva_Filho_et_al_201720190501-29767-j2flec.pdf,"… Abstract—Cloud computing is an established technology to provide computing resources … 
framework that pursues conformance to software engineering principles and object-oriented …"
16,[BOOK][B] Fundamentals of software engineering,https://books.google.com/books?hl=en&lr=&id=-JNuDwAAQBAJ&oi=fnd&pg=PP1&dq=Software+Engineering+in+computation&ots=PBHh0VZdqg&sig=0DfUqOw6JvWrCzAFvWY7AG14pmA,"… increase in the raw computing capabilities of computers, software engineers have been called 
… Software engineers have coped up with this challenge by innovating and building upon …"
17,Search-based software engineering,http://tarjomefa.com/wp-content/uploads/2018/04/187-English-TarjomeFa.pdf,"This paper claims that a new field of software engineering research and practice is emerging: 
search-based software engineering. The paper argues that software engineering is ideal …"
18,A software chasm: Software engineering and scientific computing,https://ieeexplore.ieee.org/abstract/document/4375255/,"… taken seriously in the field of computing, and software engineer- … So, the bridge between 
software engineering and any … -computing community nor the software engineering community …"
19,Concurrent models of computation for embedded software,https://escholarship.org/content/qt4pb13878/qt4pb13878.pdf,"… control software) and Lustre/SCADE (created for safety-critical embedded software) offer … 
software engineering. The paper surveys some of the abstractions that have been explored. …"
20,Requirements analysis for engineering computation: A systematic approach for improving reliability,https://link.springer.com/article/10.1007/s11155-006-9020-7,"… This paper argues that the reliability of engineering computation can be significantly improved 
by adopting software engineering methodologies for requirements analysis and specifica…"
21,The dawn of software engineering education,https://lib.iitta.gov.ua/id/eprint/720092/1/paper02.pdf,"… and computational tools for software engineering; know and apply the appropriate 
mathematical concepts, domain methods, system and object-oriented analysis and mathematical …"
